ASSET_ID,TAKEN_ON,BEARING_CONDITION,SIMPLE_MISALIGNMENT,SKIN_TEMPERATURE,SPEED,OUTPUT_POWER,VIBRATION_AXIAL,VIBRATION_RADIAL,VIBRATION_TANGENTIAL
3743,11/10/2018 4:34:04 PM,0.0000,,23.4745,1492.2344,154.3284,0.4598,0.3832,0.3066
3743,11/15/2018 8:34:32 AM,1.0000,1.0000,24.2359,1498.5498,32.8358,0.6131,0.4598,0.4215
3743,11/11/2018 10:34:12 PM,0.0000,,24.7186,1500.6237,6.5672,0.5748,0.4215,0.4215
3743,11/21/2018 10:01:34 AM,,,,,,,,
3743,11/17/2018 1:34:42 AM,0.0000,,21.7584,1491.0699,187.1642,0.0383,0.0383,0.0383
3743,11/18/2018 11:34:51 AM,1.0000,,18.9163,1493.0985,183.8806,0.0383,0.0383,0.0383
3743,11/10/2018 10:34:06 PM,1.0000,1.0000,24.0536,1492.6852,144.4776,0.4982,0.3832,0.4215
3743,11/22/2018 10:01:36 AM,,,,,,,,
3743,11/15/2018 9:34:32 AM,1.0000,1.0000,24.3325,1498.4877,16.4179,0.5748,0.3832,0.4215
3743,11/22/2018 12:02:06 PM,,,,,,,,
3743,11/21/2018 8:35:11 PM,0.0000,,18.5731,1493.7601,137.9104,0.0383,0.0383,0.0383
3743,11/8/2018 2:02:03 AM,,,,,,,,
3743,11/16/2018 2:34:40 PM,0.0000,0.0000,24.1501,1492.4071,164.1791,0.0383,0.0383,0.0383
3743,11/23/2018 3:01:37 PM,,,,,,,,
3743,11/8/2018 1:33:49 AM,1.0000,,29.8559,1494.4423,131.3433,0.0383,0.0383,0.0000
3743,11/9/2018 11:33:57 AM,1.0000,,23.5603,1499.9602,16.4179,0.4982,0.3832,0.4215
3743,11/7/2018 5:02:19 PM,,,,,,,,
3743,11/21/2018 8:35:08 AM,0.0000,,18.1870,1493.5182,141.1940,0.0000,0.0383,0.0383
3743,11/11/2018 4:01:26 PM,,,,,,,,
3743,11/17/2018 7:34:47 PM,0.0000,0.0000,19.9781,1492.7886,167.4627,0.0000,0.0383,0.0383
3743,11/22/2018 11:34:19 PM,1.0000,1.0000,22.5199,1500.4928,16.4179,0.5748,0.4215,0.4598
3743,11/22/2018 12:35:15 PM,1.0000,,18.4980,1493.5826,164.1791,0.0000,0.0383,0.0383
3743,11/20/2018 11:35:06 PM,0.0000,,18.6267,1491.8722,197.0149,0.0000,0.0383,0.0383
3743,11/8/2018 7:33:53 PM,0.0000,,24.4612,1492.5934,154.3284,0.6898,0.3832,0.4598
3743,11/15/2018 6:01:35 PM,,,,,,,,
3743,11/7/2018 1:33:43 AM,0.0000,1.0000,23.4208,1500.6641,13.1343,0.4982,0.4215,0.3066
3743,11/15/2018 8:34:32 AM,1.0000,1.0000,24.2359,1498.5498,32.8358,0.6131,0.4598,0.4215
3743,11/10/2018 12:34:03 PM,0.0000,,23.6890,1498.1632,26.2687,0.4982,0.3832,0.3832
3743,11/23/2018 12:34:22 PM,0.0000,1.0000,22.2304,1499.5227,19.7015,0.5748,0.3832,0.4598
3743,11/17/2018 2:01:35 PM,,,,,,,,
3743,11/19/2018 7:34:56 AM,0.0000,,18.1977,1490.3654,220.0000,0.0383,0.0383,0.0383
3743,11/9/2018 4:33:56 AM,0.0000,,23.2171,1500.1381,6.5672,0.4982,0.3449,0.4215
3743,11/10/2018 8:34:05 PM,1.0000,,23.9571,1498.9851,19.7015,0.4215,0.3449,0.4215
3743,11/11/2018 2:01:31 AM,,,,,,,,
3743,11/19/2018 7:34:59 PM,0.0000,,18.6589,1491.9784,160.8955,0.0000,0.0383,0.0383
3743,11/10/2018 9:34:03 AM,1.0000,,23.4745,1493.5364,144.4776,0.4598,0.3449,0.3832
3743,11/14/2018 10:02:12 PM,,,,,,,,
3743,11/17/2018 4:34:43 AM,0.0000,,21.1686,1492.9345,177.3134,0.0383,0.0383,0.0383
3743,11/19/2018 4:02:06 AM,,,,,,,,
3743,11/19/2018 1:34:57 PM,0.0000,,18.4337,1492.9602,147.7612,0.0383,0.0000,0.0383
3743,11/16/2018 2:34:40 PM,0.0000,0.0000,24.1501,1492.4071,164.1791,0.0383,0.0383,0.0383
3743,11/11/2018 4:34:07 AM,0.0000,1.0000,23.2171,1500.8205,9.8507,0.4982,0.3832,0.3832
3743,11/23/2018 10:02:09 AM,,,,,,,,
3743,11/10/2018 3:01:23 PM,,,,,,,,
3743,11/21/2018 10:01:34 PM,,,,,,,,
3743,11/16/2018 12:02:49 PM,,,,,,,,
3743,11/10/2018 12:34:01 AM,1.0000,,23.8069,1499.6426,9.8507,0.4598,0.3832,0.3449
3743,11/11/2018 1:02:09 AM,,,,,,,,
3743,11/9/2018 11:01:48 PM,,,,,,,,
3743,11/12/2018 4:34:16 PM,0.0000,,24.2681,1492.7941,144.4776,0.4598,0.3066,0.4215
3743,11/16/2018 6:02:19 PM,,,,,,,,
3743,11/12/2018 12:34:12 AM,0.0000,,24.0000,1499.7350,19.7015,0.4982,0.4215,0.3449
3743,11/14/2018 1:34:27 PM,1.0000,1.0000,24.2574,1498.9722,26.2687,0.5365,0.4215,0.3832
3743,11/13/2018 11:01:39 PM,,,,,,,,
3743,11/7/2018 8:02:17 PM,,,,,,,,
3743,11/7/2018 3:33:46 PM,1.0000,,23.1742,1498.6943,29.5522,0.5365,0.4982,0.4215
3743,11/6/2018 3:33:40 PM,1.0000,,23.9571,1493.7743,147.7612,0.6514,0.4215,0.4598
3743,11/20/2018 2:35:03 PM,1.0000,,18.5087,1485.2923,341.4925,0.0000,0.0383,0.0383
3743,11/10/2018 11:34:06 PM,0.0000,1.0000,23.9571,1492.3771,170.7463,0.4982,0.3449,0.4215
3743,11/24/2018 3:34:26 AM,1.0000,1.0000,22.4878,1500.4412,13.1343,0.6514,0.4598,0.4598
3743,11/7/2018 11:01:57 PM,,,,,,,,
3743,11/18/2018 9:34:50 AM,0.0000,0.0000,18.9163,1492.2234,183.8806,0.0000,0.0000,0.0383
3743,11/23/2018 11:34:25 PM,0.0000,1.0000,23.2385,1492.2533,174.0299,0.7281,0.3449,0.4215
3743,11/12/2018 6:01:37 PM,,,,,,,,
3743,11/24/2018 4:34:26 AM,0.0000,1.0000,22.3054,1497.9719,36.1194,0.5365,0.3066,0.4215
3743,11/18/2018 2:34:51 PM,1.0000,0.0000,18.7983,1493.3377,137.9104,0.0000,0.0383,0.0383
3743,11/11/2018 1:34:07 AM,1.0000,1.0000,23.4637,1499.7224,19.7015,0.4982,0.3832,0.3449
3743,11/11/2018 12:34:09 PM,0.0000,,24.1716,1500.5895,9.8507,0.6131,0.4215,0.4215
3743,11/15/2018 2:02:20 PM,,,,,,,,
3743,11/14/2018 1:34:27 PM,1.0000,1.0000,24.2574,1498.9722,26.2687,0.5365,0.4215,0.3832
3743,11/22/2018 12:35:12 AM,0.0000,,18.5516,1492.3732,183.8806,0.0000,0.0383,0.0383
